# -*- coding: cp1252 -*-
subject_id,Position,Correct_Click,Button,Time
4,right,True,1073741904,346
4,right,True,1073741904,324
4,left,True,1073741904,375
4,left,True,1073741904,357
4,right,False,1073741903,346
4,left,True,1073741904,298
4,right,True,1073741904,301
4,left,False,1073741903,431
4,left,True,1073741904,368
4,right,True,1073741904,368
4,right,False,1073741903,554
4,left,False,1073741903,343
4,right,False,1073741903,312
4,left,False,1073741903,319
4,left,True,1073741904,434
4,left,False,1073741903,389
4,right,False,1073741903,405
4,left,True,1073741904,376
4,right,True,1073741904,414
4,right,True,1073741904,302
5,right,True,1073741904,759
5,left,False,1073741903,561
5,left,False,1073741903,625
5,left,True,1073741904,828
5,right,True,1073741904,794
5,right,False,1073741903,710
5,left,True,1073741904,676
5,right,False,1073741903,634
5,right,False,1073741903,548
5,left,True,1073741904,501
5,left,False,1073741903,518
5,right,False,1073741903,688
5,left,False,1073741903,666
5,right,True,1073741904,534
5,left,True,1073741904,625
5,left,True,1073741904,675
5,right,True,1073741904,822
5,left,False,1073741903,702
5,right,True,1073741904,564
5,right,True,1073741904,630
7,left,True,1073741904,370
7,right,False,1073741903,385
7,right,True,1073741904,317
7,right,False,1073741903,463
7,left,True,1073741904,314
7,left,False,1073741903,376
7,left,False,1073741903,396
7,left,True,1073741904,405
7,right,False,1073741903,404
7,right,True,1073741904,388
7,left,True,1073741904,595
7,right,True,1073741904,549
7,left,True,1073741904,317
7,left,False,1073741903,294
7,left,True,1073741904,295
7,right,True,1073741904,462
7,left,False,1073741903,415
7,right,True,1073741904,385
7,right,True,1073741904,476
7,right,False,1073741903,410
8,left,True,1073741904,600
8,left,True,1073741904,577
8,right,False,1073741903,496
8,left,False,1073741903,452
8,right,True,1073741904,574
8,right,False,1073741903,510
8,left,False,1073741903,542
8,left,False,1073741903,717
8,right,True,1073741904,541
8,right,False,1073741903,490
8,right,True,1073741904,1310
8,left,False,1073741903,492
8,left,True,1073741904,641
8,left,True,1073741904,556
8,right,False,1073741903,2336
8,right,True,1073741904,570
8,left,False,1073741903,2128
8,left,True,1073741904,1070
8,right,False,1073741903,583
8,right,False,1073741903,471
9,right,True,1073741904,360
9,left,False,1073741903,384
9,right,True,1073741904,348
9,right,True,1073741904,327
9,left,True,1073741904,331
9,left,False,1073741903,361
9,right,False,1073741903,366
9,left,False,1073741903,360
9,right,True,1073741904,480
9,left,False,1073741903,396
9,right,True,1073741904,433
9,left,True,1073741904,376
9,left,True,1073741904,326
9,right,True,1073741904,295
9,right,False,1073741903,376
9,left,True,1073741904,298
9,left,True,1073741904,302
9,left,True,1073741904,288
9,right,False,1073741903,410
9,right,False,1073741903,389
10,right,False,1073741903,911
10,left,True,1073741904,403
10,left,True,1073741904,326
10,left,True,1073741904,505
10,right,True,1073741904,547
10,left,False,1073741903,491
10,right,False,1073741903,424
10,left,True,1073741904,427
10,right,False,1073741903,322
10,right,False,1073741903,378
10,right,False,1073741903,655
10,right,True,1073741904,618
10,left,False,1073741903,659
10,right,True,1073741904,582
10,left,False,1073741903,651
10,right,False,1073741903,445
10,left,False,1073741903,439
10,left,True,1073741904,444
10,right,True,1073741904,341
10,left,True,1073741904,385
11,left,True,1073741904,611
11,left,True,1073741904,462
11,right,False,1073741903,642
11,right,False,1073741903,551
11,right,False,1073741903,454
11,left,False,1073741903,494
11,right,False,1073741903,438
11,left,True,1073741904,500
11,left,False,1073741903,456
11,right,True,1073741904,504
11,right,True,1073741904,650
11,left,False,1073741903,683
11,left,True,1073741904,697
11,right,False,1073741903,646
11,left,False,1073741903,646
11,right,False,1073741903,486
11,left,True,1073741904,501
11,right,True,1073741904,734
11,right,False,1073741903,408
11,left,True,1073741904,467
12,right,False,1073741903,334
12,right,False,1073741903,275
12,left,True,1073741904,354
12,left,True,1073741904,334
12,left,True,1073741904,297
12,right,True,1073741904,362
12,right,False,1073741903,373
12,right,False,1073741903,305
12,left,False,1073741903,416
12,left,True,1073741904,334
12,left,False,1073741903,478
12,right,False,1073741903,445
12,right,False,1073741903,455
12,left,False,1073741903,383
12,left,True,1073741904,364
12,right,True,1073741904,370
12,right,False,1073741903,342
12,right,True,1073741904,483
12,left,False,1073741903,405
12,left,False,1073741903,451
13,left,False,1073741903,471
13,right,True,1073741904,251
13,left,False,1073741903,309
13,left,True,1073741904,332
13,right,False,1073741903,302
13,right,False,1073741903,314
13,right,True,1073741904,310
13,right,False,1073741903,339
13,left,True,1073741904,265
13,left,False,1073741903,608
13,right,False,1073741903,419
13,left,True,1073741904,267
13,left,True,1073741904,361
13,right,True,1073741904,424
13,right,False,1073741903,400
13,left,False,1073741903,434
13,right,True,1073741904,408
13,left,True,1073741904,404
13,left,True,1073741904,621
13,right,False,1073741903,408
